Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'SAIL.NS')","('High', 'SAIL.NS')","('Low', 'SAIL.NS')","('Open', 'SAIL.NS')","('Volume', 'SAIL.NS')","('Date', '')","('Close', 'SAIL.NS')","('High', 'SAIL.NS')","('Low', 'SAIL.NS')","('Open', 'SAIL.NS')","('Volume', 'SAIL.NS')"
2020-01-01,39.96864318847656,46.5,51.900001525878906,42.54999923706055,43.150001525878906,643686712.0,,,,,,,,,,,,
2020-02-01,30.55666732788086,35.54999923706055,49.75,34.900001525878906,46.0,468668209.0,,,,,,,,,,,,
2020-03-01,19.812414169311523,23.049999237060547,37.20000076293945,20.14999961853028,36.650001525878906,751525694.0,,,,,,,,,,,,
2020-04-01,27.376367568969727,31.850000381469727,32.25,21.5,23.049999237060547,445228829.0,,,,,,,,,,,,
2020-05-01,25.915151596069336,30.14999961853028,31.850000381469727,26.549999237060547,31.850000381469727,415043180.0,,,,,,,,,,,,
2020-06-01,26.130035400390625,30.39999961853028,35.099998474121094,28.350000381469727,30.700000762939453,703171921.0,,,,,,,,,,,,
2020-07-01,29.22438240051269,34.0,38.70000076293945,30.0,30.600000381469727,1054219926.0,,,,,,,,,,,,
2020-08-01,33.092315673828125,38.5,44.75,33.599998474121094,33.79999923706055,839813440.0,,,,,,,,,,,,
2020-09-01,29.00950050354004,33.75,42.25,32.650001525878906,38.900001525878906,653309073.0,,,,,,,,,,,,
2020-10-01,29.525218963623047,34.349998474121094,37.0,32.650001525878906,34.25,424843131.0,,,,,,,,,,,,
2020-11-01,41.64474868774414,48.45000076293945,49.70000076293945,34.0,34.5,644192961.0,,,,,,,,,,,,
2020-12-01,63.69196319580078,74.0999984741211,74.69999694824219,47.900001525878906,48.59999847412109,1281770309.0,,,,,,,,,,,,
2021-01-01,49.55251693725586,57.650001525878906,80.30000305175781,55.29999923706055,73.94999694824219,1847461745.0,,,,,,,,,,,,
2021-02-01,65.7978515625,76.55000305175781,77.5,57.59999847412109,58.54999923706055,1370574825.0,,,,,,,,,,,,
2021-03-01,68.81378173828125,78.80000305175781,81.5,67.0999984741211,77.5,1131041328.0,,,,,,,,,,,,
2021-04-01,104.35592651367188,119.5,121.3499984741211,79.55000305175781,79.6500015258789,1815590300.0,,,,,,,,,,,,
2021-05-01,110.55615997314452,126.5999984741211,151.3000030517578,116.4499969482422,119.1999969482422,1977184480.0,,,,,,,,,,,,
2021-06-01,114.04924011230467,130.60000610351562,139.75,119.5500030517578,127.5,1379545851.0,,,,,,,,,,,,
2021-07-01,124.0481948852539,142.0500030517578,145.89999389648438,120.8000030517578,131.6999969482422,1104852857.0,,,,,,,,,,,,
2021-08-01,106.1897964477539,121.5999984741211,144.3000030517578,112.5500030517578,143.5,1145989374.0,,,,,,,,,,,,
2021-09-01,99.2472915649414,113.6500015258789,125.0,105.0,121.4000015258789,834673959.0,,,,,,,,,,,,
2021-10-01,102.10968780517578,115.0999984741211,131.8000030517578,110.8000030517578,112.9499969482422,921584451.0,,,,,,,,,,,,
2021-11-01,88.75825500488281,100.0500030517578,130.3000030517578,99.25,123.0,900382440.0,,,,,,,,,,,,
2021-12-01,98.25425720214844,107.1999969482422,123.4499969482422,100.25,101.8000030517578,794269809.0,,,,,,,,,,,,
2022-01-01,90.23444366455078,98.4499969482422,113.6500015258789,94.1500015258789,107.6999969482422,767459780.0,,,,,,,,,,,,
2022-02-01,88.30967712402344,96.3499984741211,106.75,84.3499984741211,99.4499969482422,804203790.0,,,,,,,,,,,,
2022-03-01,90.32609558105467,98.5500030517578,105.1500015258789,93.5,96.3499984741211,901760114.0,,,,,,,,,,,,
2022-04-01,90.87998962402344,96.75,112.3499984741211,95.5,99.0,646792493.0,,,,,,,,,,,,
2022-05-01,71.34196472167969,75.94999694824219,98.4000015258789,69.5,95.9499969482422,855852991.0,,,,,,,,,,,,
2022-06-01,64.39093780517578,68.55000305175781,77.4000015258789,63.59999847412109,75.94999694824219,714704688.0,,,,,,,,,,,,
2022-07-01,72.46915435791016,77.1500015258789,77.44999694824219,67.5,68.19999694824219,669118576.0,,,,,,,,,,,,
2022-08-01,78.70355987548828,81.30000305175781,84.05000305175781,75.44999694824219,77.8499984741211,464793683.0,,,,,,,,,,,,
2022-09-01,74.29887390136719,76.75,85.0,73.19999694824219,80.5,383890364.0,,,,,,,,,,,,
2022-10-01,76.18658447265625,78.69999694824219,82.9000015258789,75.55000305175781,76.5,276459663.0,,,,,,,,,,,,
2022-11-01,82.14018249511719,84.8499984741211,88.0,78.4000015258789,78.69999694824219,428177044.0,,,,,,,,,,,,
2022-12-01,80.01044464111328,82.6500015258789,88.6500015258789,73.75,85.69999694824219,350191297.0,,,,,,,,,,,,
2023-01-01,87.70654296875,90.5999984741211,93.9000015258789,83.05000305175781,83.30000305175781,568571850.0,,,,,,,,,,,,
2023-02-01,80.10724639892578,82.75,92.4000015258789,81.0999984741211,91.3000030517578,339676057.0,,,,,,,,,,,,
2023-03-01,80.058837890625,82.69999694824219,89.3499984741211,77.5999984741211,83.0,314451304.0,,,,,,,,,,,,
2023-04-01,81.10032653808594,82.80000305175781,84.3499984741211,80.75,83.8499984741211,171375057.0,,,,,,,,,,,,
2023-05-01,80.80648040771484,82.5,86.5999984741211,80.44999694824219,82.80000305175781,282934044.0,,,,,,,,,,,,
2023-06-01,83.7448959350586,85.5,87.05000305175781,81.80000305175781,82.5,288667340.0,,,,,,,,,,,,
2023-07-01,92.65809631347656,94.5999984741211,95.0999984741211,85.5999984741211,85.9000015258789,300889705.0,,,,,,,,,,,,
2023-08-01,88.83815002441406,90.6999969482422,96.1500015258789,83.9000015258789,95.3000030517578,299944832.0,,,,,,,,,,,,
2023-09-01,91.92349243164062,93.8499984741211,103.6500015258789,90.8499984741211,91.25,450638411.0,,,,,,,,,,,,
2023-10-01,82.55474853515625,83.8499984741211,94.0,81.80000305175781,93.8499984741211,246807825.0,,,,,,,,,,,,
2023-11-01,90.87422943115234,92.3000030517578,92.5,82.5999984741211,84.0,311205980.0,,,,,,,,,,,,
2023-12-01,121.73995208740234,123.6500015258789,125.75,92.1999969482422,93.0,1143778989.0,,,,,,,,,,,,
2024-01-01,120.6077117919922,122.5,126.9000015258789,107.5,123.6500015258789,697447828.0,,,,,,,,,,,,
2024-02-01,119.32779693603516,121.1999969482422,150.0,116.0,123.5,1176463389.0,,,,,,,,,,,,
2024-03-01,133.2145233154297,134.25,145.0,117.3499984741211,123.0,929372025.0,,,,,,,,,,,,
2024-04-01,162.93350219726562,164.1999969482422,170.5,135.60000610351562,135.60000610351562,1183167037.0,,,,,,,,,,,,
2024-05-01,157.27748107910156,158.5,175.35000610351562,151.0,164.1999969482422,695367031.0,,,,,,,,,,,,
2024-06-01,147.50344848632812,148.64999389648438,168.0,124.8000030517578,168.0,780798651.0,,,,,,,,,,,,
2024-07-01,151.85958862304688,153.0399932861328,158.75,135.3000030517578,149.89999389648438,639600187.0,,,,,,,,,,,,
2024-08-01,132.65884399414062,133.69000244140625,156.35000610351562,125.0,154.0500030517578,511491674.0,,,,,,,,,,,,
2024-09-01,140.26968383789062,141.36000061035156,144.1999969482422,123.8000030517578,133.86000061035156,443851829.0,,,,,,,,,,,,
2024-10-01,115.75,115.75,142.1199951171875,110.4000015258789,141.38999938964844,482226284.0,,,,,,,,,,,,
2024-11-01,117.11000061035156,117.11000061035156,126.8499984741211,108.6500015258789,116.5199966430664,356671442.0,,,,,,,,,,,,
2024-12-01,113.12999725341795,113.12999725341795,130.08999633789062,111.0,116.5,370523403.0,,,,,,,,,,,,
2025-01-01,107.0999984741211,107.0999984741211,115.9000015258789,99.66000366210938,112.5199966430664,207323051.0,,,,,,,,,,,,
