Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'GRANULES.NS')","('High', 'GRANULES.NS')","('Low', 'GRANULES.NS')","('Open', 'GRANULES.NS')","('Volume', 'GRANULES.NS')","('Date', '')","('Close', 'GRANULES.NS')","('High', 'GRANULES.NS')","('Low', 'GRANULES.NS')","('Open', 'GRANULES.NS')","('Volume', 'GRANULES.NS')"
2020-01-01,143.2098388671875,146.0500030517578,161.10000610351562,120.1999969482422,123.1999969482422,58922611.0,,,,,,,,,,,,
2020-02-01,154.49310302734375,157.3000030517578,189.0,136.14999389648438,146.0,38922031.0,,,,,,,,,,,,
2020-03-01,141.086669921875,143.64999389648438,179.8000030517578,114.0999984741211,161.0,44499592.0,,,,,,,,,,,,
2020-04-01,159.6002960205078,162.5,181.0,138.1999969482422,143.0,44915502.0,,,,,,,,,,,,
2020-05-01,168.19415283203125,171.25,179.89999389648438,154.10000610351562,162.5,33261281.0,,,,,,,,,,,,
2020-06-01,198.98472595214844,202.6000061035156,224.4499969482422,170.5,173.0,82446104.0,,,,,,,,,,,,
2020-07-01,268.4231262207031,273.29998779296875,310.95001220703125,204.4499969482422,205.6999969482422,124650061.0,,,,,,,,,,,,
2020-08-01,308.4134826660156,313.75,335.75,274.3999938964844,274.95001220703125,87876885.0,,,,,,,,,,,,
2020-09-01,377.8821716308594,383.7999877929688,406.8999938964844,310.0,316.79998779296875,137744635.0,,,,,,,,,,,,
2020-10-01,377.83294677734375,383.75,405.9500122070313,361.5,389.2000122070313,45252628.0,,,,,,,,,,,,
2020-11-01,406.4530334472656,412.5499877929688,425.0,366.0,374.1499938964844,22895153.0,,,,,,,,,,,,
2020-12-01,346.9456787109375,352.1499938964844,437.9500122070313,321.3999938964844,426.0,35206648.0,,,,,,,,,,,,
2021-01-01,332.2166442871094,337.20001220703125,376.8500061035156,333.8999938964844,354.70001220703125,28943594.0,,,,,,,,,,,,
2021-02-01,318.8668518066406,323.6499938964844,358.6499938964844,315.1000061035156,338.0,33012929.0,,,,,,,,,,,,
2021-03-01,299.1874389648437,303.45001220703125,374.4500122070313,295.0,326.8500061035156,70483758.0,,,,,,,,,,,,
2021-04-01,329.01251220703125,333.70001220703125,349.0,304.1000061035156,305.8500061035156,65289190.0,,,,,,,,,,,,
2021-05-01,313.97674560546875,318.45001220703125,370.5499877929688,312.79998779296875,331.20001220703125,100901600.0,,,,,,,,,,,,
2021-06-01,327.9280090332031,332.6000061035156,340.75,303.1000061035156,320.04998779296875,60741613.0,,,,,,,,,,,,
2021-07-01,374.0705871582031,379.3999938964844,396.5499877929688,328.04998779296875,334.5,139602374.0,,,,,,,,,,,,
2021-08-01,327.3192443847656,331.29998779296875,404.7999877929688,316.0,381.3999938964844,65039519.0,,,,,,,,,,,,
2021-09-01,316.7055053710937,320.3500061035156,352.8500061035156,314.6000061035156,331.29998779296875,40688012.0,,,,,,,,,,,,
2021-10-01,306.3743896484375,309.8999938964844,335.6000061035156,305.0,319.0,32538527.0,,,,,,,,,,,,
2021-11-01,297.1802062988281,300.6000061035156,328.6000061035156,280.5,311.0,41857054.0,,,,,,,,,,,,
2021-12-01,332.6402587890625,336.20001220703125,349.5,292.20001220703125,301.0,43588483.0,,,,,,,,,,,,
2022-01-01,300.880126953125,304.1000061035156,362.3999938964844,290.0,336.20001220703125,53293740.0,,,,,,,,,,,,
